Sample in Buffer,Sample in Window,TRIGGER,design_2_i/adc_bit_decoder_0_t_ready,design_2_i/ZmodScopeController_0_cDataAxisTvalid,design_2_i/delay_96_cycles_0_dout,design_2_i/adc_bit_decoder_0_bit_out,design_2_i/comparator_0_correct_bits[13:0],design_2_i/comparator_0_whole_bits[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
483,483,0,1,0,0,1,6622,16234
484,484,0,1,1,0,1,6622,16234
485,485,0,1,0,0,1,6622,16234
486,486,0,1,0,0,1,6622,16234
487,487,0,1,0,0,1,6622,16234
488,488,0,1,1,0,1,6622,16234
489,489,0,1,0,0,0,6622,16234
490,490,0,1,0,0,0,6623,16234
491,491,0,1,0,0,0,6623,16234
492,492,0,1,1,0,0,6623,16234
493,493,0,1,0,0,0,6623,16234
494,494,0,1,0,0,0,6623,16234
495,495,0,1,0,0,0,6623,16234
496,496,0,1,1,0,0,6623,16234
497,497,0,1,0,0,1,6623,16234
498,498,0,1,0,0,1,6623,16234
499,499,0,1,0,0,1,6623,16235
500,500,0,1,1,0,1,6623,16235
501,501,0,1,0,0,1,6623,16235
502,502,0,1,0,0,1,6623,16235
503,503,0,1,0,0,1,6623,16235
504,504,0,1,1,0,1,6623,16235
505,505,0,1,0,0,1,6623,16235
506,506,0,1,0,0,1,6623,16235
507,507,0,1,0,0,1,6623,16235
508,508,0,1,1,0,1,6623,16235
509,509,0,1,0,0,1,6623,16235
510,510,0,1,0,0,1,6623,16235
511,511,0,1,0,0,1,6623,16235
512,512,0,1,1,0,1,6623,16235
513,513,0,1,0,0,1,6623,16235
514,514,0,1,0,0,1,6623,16235
515,515,0,1,0,0,1,6623,16235
516,516,0,1,1,1,1,6623,16235
517,517,0,1,0,1,1,6623,16235
518,518,0,1,0,1,1,6623,16235
519,519,0,1,0,1,1,6623,16236
520,520,0,1,1,1,1,6623,16236
521,521,0,1,0,1,0,6623,16236
522,522,0,1,0,1,0,6623,16236
523,523,0,1,0,1,0,6623,16236
524,524,0,1,1,1,0,6623,16236
525,525,0,1,0,1,0,6623,16236
526,526,0,1,0,1,0,6623,16236
527,527,0,1,0,1,0,6623,16236
528,528,0,1,1,1,0,6623,16236
529,529,0,1,0,1,0,6623,16236
530,530,0,1,0,1,0,6623,16236
531,531,0,1,0,1,0,6623,16236
532,532,0,1,1,1,0,6623,16236
533,533,0,1,0,1,1,6623,16236
534,534,0,1,0,1,1,6623,16236
535,535,0,1,0,1,1,6623,16236
536,536,0,1,1,1,1,6623,16236
537,537,0,1,0,1,0,6623,16236
538,538,0,1,0,1,0,6623,16236
539,539,0,1,0,1,0,6623,16237
